AARON *Origen:Hebreo;    *Significado:Elevado, alto, montañoso 
ABEL *Origen:Hebreo;    *Significado:Aliento, respiración,vanidad 
ABELARDO *Origen:Germano;    *Significado:Noble, Osado, temerario 
ABIGAIL *Origen:Hebreo;    *Significado:Fuente de alegría 
ABRAHAM *Origen:Hebreo;    *Significado:Padre superior 
ABRIL *Origen:Latino;    *Significado:Apertura 
ADA *Origen:Hebreo;    *Significado:Belleza 
ADALBERTO *Origen:Germano;    *Significado:Que brilla noblemente 
ADAN *Origen:Hebreo;    *Significado:Hombre de la tierra 
ADELA *Origen:Germano;    *Significado:De noble cuna 
ADELAIDA *Origen:Germano;    *Significado:De noble cuna 
ADELINA *Origen:Germano;    *Significado:De noble cuna 
ADELMO *Origen:Germano;    *Significado:Noble 
ADOLFO *Origen:Germano;    *Significado:Lobo, noble 
ADRIAN *Origen:Latino;    *Significado:De Adria (Del Mar Adriático) 
ADRIANO *Origen:Latino;    *Significado:Negro 
AGATA *Origen:Griego;    *Significado:Buena, amable 
ÁGUEDA *Origen:Griego;    *Significado:Buena, amable 
AGUSTIN *Origen:Latino;    *Significado:Perteneciente a Agostoo 
AIDA *Origen:Italiano;    *Significado:Conductora 
AINARA *Origen:Vasco;    *Significado:Originario de Vizcaya. Sin datos 
ALAN *Origen:Germano;    *Significado:De la tribu de los Alanos 
ALBANO *Origen:Latino;    *Significado:Blanco, puro, luminoso 
ALBERTO *Origen:Germano;    *Significado:Que brilla con nobleza 
ALCIRA *Origen:Árabe;    *Significado:Natural de Algeciras (España) 
ALDO *Origen:Germano;    *Significado:Experto 
ALEJANDRO *Origen:Germano;    *Significado:Auxiliar de los hombres
ALEJANDRA *Origen:Germano;    *Significado:Auxiliar de los hombres 
ALEJO *Origen:Germano;    *Significado:Arroja el mal 
ALFONSO *Origen:Germano;    *Significado:Estratega 
ALFREDO *Origen:Germano;    *Significado:Consejero 
ALICIA *Origen:Germano;    *Significado:Noble alegría, consuelo 
ALINA *Origen:Germano;    *Significado:Amiga noble 
ALMUDENA *Origen:Árabe;    *Significado:La ciudad 
ALONSO *Origen:Germano;    *Significado:Estratega (Variante de Alfonso)
ALVARO *Origen:Germano;    *Significado:Atento 
AMADEO *Origen:Latino;    *Significado:Que ama a Dios 
AMALIA *Origen:Germano;    *Significado:Laboriosa 
AMANCIO *Origen:Latino;    *Significado:Amante 
AMANDA *Origen:Latino;    *Significado:Merecedora de amor 
AMARANTO *Origen:Griego;    *Significado:Flor eterna 
AMAYA *Origen:Vasco;    *Significado:Principio del fin 
AMOS *Origen:Hebreo;    *Significado:Carga 
AMBROSIO *Origen:Griego;    *Significado:Inmortal, Divino 
AMELIA *Origen:Germano;    *Significado:Afanosa, enérgica 
AMIRA *Origen:Árabe;    *Significado:La princesa 
AMPARO *Origen:Latino;    *Significado:Protectora 
ANA *Origen:Hebreo;    *Significado:Graciosa 
ANACLETO *Origen:Griego;    *Significado:Que invoca auxilio 
ANASTASIO *Origen:Griego;    *Significado:Resucitado, resurrección
ANASTASIA *Origen:Griego;    *Significado:Resucitado, resurrección 
